"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Louisiana","22","2004","2004",118,4552238,2.6,2.7
,"Louisiana","22","2005","2005",142,4576628,3.1,3.1
,"Louisiana","22","2006","2006",158,4302665,3.7,3.7
,"Louisiana","22","2007","2007",176,4375581,4.0,4.1
,"Louisiana","22","2008","2008",97,4435586,2.2,2.2
,"Louisiana","22","2009","2009",74,4491648,1.6,1.7
,"Louisiana","22","2010","2010",83,4533372,1.8,1.9
,"Louisiana","22","2011","2011",70,4574836,1.5,1.5
,"Louisiana","22","2012","2012",97,4601893,2.1,2.1
,"Louisiana","22","2013","2013",103,4625470,2.2,2.3
,"Louisiana","22","2014","2014",107,4649676,2.3,2.3
,"Louisiana","22","2015","2015",120,4670724,2.6,2.6
,"Louisiana","22","2016","2016",124,4681666,2.6,2.6
,"Louisiana","22","2017","2017",168,4684333,3.6,3.6
,"Louisiana","22","2018","2018",144,4659978,3.1,3.0
,"Louisiana","22","2019","2019",188,4648794,4.0,4.2
,"Louisiana","22","2020","2020",269,4645318,5.8,6.0
,"Maine","23","1999","1999",11,1266808,Unreliable,Unreliable
,"Maine","23","2000","2000",27,1274923,2.1,2.1
,"Maine","23","2001","2001",30,1285692,2.3,2.3
,"Maine","23","2002","2002",62,1295960,4.8,5.0
,"Maine","23","2003","2003",63,1306513,4.8,4.9
,"Maine","23","2004","2004",82,1313688,6.2,6.5
,"Maine","23","2005","2005",96,1318787,7.3,7.5
,"Maine","23","2006","2006",84,1323619,6.3,6.6
,"Maine","23","2007","2007",89,1327040,6.7,7.1
,"Maine","23","2008","2008",87,1330509,6.5,6.7
,"Maine","23","2009","2009",99,1329590,7.4,7.5
,"Maine","23","2010","2010",78,1328361,5.9,6.2
,"Maine","23","2011","2011",67,1328188,5.0,5.5
,"Maine","23","2012","2012",78,1329192,5.9,6.0
,"Maine","23","2013","2013",92,1328302,6.9,7.0
,"Maine","23","2014","2014",101,1330089,7.6,7.8
,"Maine","23","2015","2015",124,1329328,9.3,9.6
,"Maine","23","2016","2016",154,1331479,11.6,12.5
,"Maine","23","2017","2017",100,1335907,7.5,7.6
,"Maine","23","2018","2018",69,1338404,5.2,5.1
,"Maine","23","2019","2019",73,1344212,5.4,5.6
,"Maine","23","2020","2020",92,1350141,6.8,7.0
,"Maryland","24","1999","1999",11,5254509,Unreliable,Unreliable
,"Maryland","24","2000","2000",38,5296486,0.7,0.7
,"Maryland","24","2001","2001",42,5374691,0.8,0.8
,"Maryland","24","2002","2002",49,5440389,0.9,0.9
,"Maryland","24","2003","2003",65,5496269,1.2,1.1
,"Maryland","24","2004","2004",160,5546935,2.9,2.8
,"Maryland","24","2005","2005",213,5592379,3.8,3.7
,"Maryland","24","2006","2006",266,5627367,4.7,4.6
,"Maryland","24","2007","2007",308,5653408,5.4,5.3
,"Maryland","24","2008","2008",299,5684965,5.3,5.1
,"Maryland","24","2009","2009",303,5730388,5.3,5.1
,"Maryland","24","2010","2010",341,5773552,5.9,5.8
,"Maryland","24","2011","2011",377,5828289,6.5,6.3
,"Maryland","24","2012","2012",398,5884563,6.8,6.5
,"Maryland","24","2013","2013",416,5928814,7.0,6.8
,"Maryland","24","2014","2014",503,5976407,8.4,8.0
,"Maryland","24","2015","2015",534,6006401,8.9,8.7
,"Maryland","24","2016","2016",812,6016447,13.5,13.1
,"Maryland","24","2017","2017",711,6052177,11.7,11.5
,"Maryland","24","2018","2018",576,6042718,9.5,9.2
,"Maryland","24","2019","2019",589,6045680,9.7,9.4
,"Maryland","24","2020","2020",589,6055802,9.7,9.4
,"Massachusetts","25","1999","1999",40,6317345,0.6,0.6
,"Massachusetts","25","2000","2000",38,6349097,0.6,0.6
,"Massachusetts","25","2001","2001",92,6397634,1.4,1.4
,"Massachusetts","25","2002","2002",98,6417206,1.5,1.5
,"Massachusetts","25","2003","2003",122,6422565,1.9,1.9
,"Massachusetts","25","2004","2004",119,6412281,1.9,1.8
,"Massachusetts","25","2005","2005",176,6403290,2.7,2.7
,"Massachusetts","25","2006","2006",288,6410084,4.5,4.4
,"Massachusetts","25","2007","2007",280,6431559,4.4,4.2
,"Massachusetts","25","2008","2008",209,6468967,3.2,3.1
,"Massachusetts","25","2009","2009",255,6517613,3.9,3.7
,"Massachusetts","25","2010","2010",242,6547629,3.7,3.6
,"Massachusetts","25","2011","2011",231,6587536,3.5,3.4
